STATE_FP,STUSPS,STATE_NAME,STATENS,PARTY
01,AL,Alabama,01779775,R
02,AK,Alaska,01785533,R
04,AZ,Arizona,01779777,R
05,AR,Arkansas,00068085,R
06,CA,California,01779778,D
08,CO,Colorado,01779779,D
09,CT,Connecticut,01779780,D
10,DE,Delaware,01779781,D
11,DC,District of Columbia,01702382,D
12,FL,Florida,00294478,R
13,GA,Georgia,01705317,R
15,HI,Hawaii,01779782,D
16,ID,Idaho,01779783,R
17,IL,Illinois,01779784,D
18,IN,Indiana,00448508,R
19,IA,Iowa,01779785,R
20,KS,Kansas,00481813,R
21,KY,Kentucky,01779786,R
22,LA,Louisiana,01629543,R
23,ME,Maine,01779787,D
24,MD,Maryland,01714934,D
25,MA,Massachusetts,00606926,D
26,MI,Michigan,01779789,R
27,MN,Minnesota,00662849,D
28,MS,Mississippi,01779790,R
29,MO,Missouri,01779791,R
30,MT,Montana,00767982,R
31,NE,Nebraska,01779792,R
32,NV,Nevada,01779793,D
33,NH,New Hampshire,01779794,D
34,NJ,New Jersey,01779795,D
35,NM,New Mexico,00897535,D
36,NY,New York,01779796,D
37,NC,North Carolina,01027616,R
38,ND,North Dakota,01779797,R
39,OH,Ohio,01085497,R
40,OK,Oklahoma,01102857,R
41,OR,Oregon,01155107,D
42,PA,Pennsylvania,01779798,R
44,RI,Rhode Island,01219835,D
45,SC,South Carolina,01779799,R
46,SD,South Dakota,01785534,R
47,TN,Tennessee,01325873,R
48,TX,Texas,01779801,R
49,UT,Utah,01455989,R
50,VT,Vermont,01779802,D
51,VA,Virginia,01779803,D
53,WA,Washington,01779804,D
54,WV,West Virginia,01779805,R
55,WI,Wisconsin,01779806,R
56,WY,Wyoming,01779807,R
