,STATE_FP,COUNTY_FP,COUNTY,FIPS,COUNTY_NAME,STUSPS,STATE_NAME,PARTY
0,1,1,Autauga County,1001,Autauga,AL,Alabama,republican
1,1,3,Baldwin County,1003,Baldwin,AL,Alabama,republican
2,1,5,Barbour County,1005,Barbour,AL,Alabama,republican
3,1,7,Bibb County,1007,Bibb,AL,Alabama,republican
4,1,9,Blount County,1009,Blount,AL,Alabama,republican
5,1,11,Bullock County,1011,Bullock,AL,Alabama,democrat
6,1,13,Butler County,1013,Butler,AL,Alabama,republican
7,1,15,Calhoun County,1015,Calhoun,AL,Alabama,republican
8,1,17,Chambers County,1017,Chambers,AL,Alabama,republican
9,1,19,Cherokee County,1019,Cherokee,AL,Alabama,republican
10,1,21,Chilton County,1021,Chilton,AL,Alabama,republican
11,1,23,Choctaw County,1023,Choctaw,AL,Alabama,republican
12,1,25,Clarke County,1025,Clarke,AL,Alabama,republican
13,1,27,Clay County,1027,Clay,AL,Alabama,republican
14,1,29,Cleburne County,1029,Cleburne,AL,Alabama,republican
15,1,31,Coffee County,1031,Coffee,AL,Alabama,republican
16,1,33,Colbert County,1033,Colbert,AL,Alabama,republican
17,1,35,Conecuh County,1035,Conecuh,AL,Alabama,republican
18,1,37,Coosa County,1037,Coosa,AL,Alabama,republican
19,1,39,Covington County,1039,Covington,AL,Alabama,republican
20,1,41,Crenshaw County,1041,Crenshaw,AL,Alabama,republican
21,1,43,Cullman County,1043,Cullman,AL,Alabama,republican
22,1,45,Dale County,1045,Dale,AL,Alabama,republican
23,1,47,Dallas County,1047,Dallas,AL,Alabama,democrat
24,1,49,DeKalb County,1049,De Kalb,AL,,
25,1,51,Elmore County,1051,Elmore,AL,Alabama,republican
26,1,53,Escambia County,1053,Escambia,AL,Alabama,republican
27,1,55,Etowah County,1055,Etowah,AL,Alabama,republican
28,1,57,Fayette County,1057,Fayette,AL,Alabama,republican
29,1,59,Franklin County,1059,Franklin,AL,Alabama,republican
30,1,61,Geneva County,1061,Geneva,AL,Alabama,republican
31,1,63,Greene County,1063,Greene,AL,Alabama,democrat
32,1,65,Hale County,1065,Hale,AL,Alabama,democrat
33,1,67,Henry County,1067,Henry,AL,Alabama,republican
34,1,69,Houston County,1069,Houston,AL,Alabama,republican
35,1,71,Jackson County,1071,Jackson,AL,Alabama,republican
36,1,73,Jefferson County,1073,Jefferson,AL,Alabama,democrat
37,1,75,Lamar County,1075,Lamar,AL,Alabama,republican
38,1,77,Lauderdale County,1077,Lauderdale,AL,Alabama,republican
39,1,79,Lawrence County,1079,Lawrence,AL,Alabama,republican
40,1,81,Lee County,1081,Lee,AL,Alabama,republican
41,1,83,Limestone County,1083,Limestone,AL,Alabama,republican
42,1,85,Lowndes County,1085,Lowndes,AL,Alabama,democrat
43,1,87,Macon County,1087,Macon,AL,Alabama,democrat
44,1,89,Madison County,1089,Madison,AL,Alabama,republican
45,1,91,Marengo County,1091,Marengo,AL,Alabama,democrat
46,1,93,Marion County,1093,Marion,AL,Alabama,republican
47,1,95,Marshall County,1095,Marshall,AL,Alabama,republican
48,1,97,Mobile County,1097,Mobile,AL,Alabama,republican
49,1,99,Monroe County,1099,Monroe,AL,Alabama,republican
50,1,101,Montgomery County,1101,Montgomery,AL,Alabama,democrat
51,1,103,Morgan County,1103,Morgan,AL,Alabama,republican
52,1,105,Perry County,1105,Perry,AL,Alabama,democrat
53,1,107,Pickens County,1107,Pickens,AL,Alabama,republican
54,1,109,Pike County,1109,Pike,AL,Alabama,republican
