year,state,state_po,county,FIPS,candidate,party,candidatevotes,0
2016,Wyoming,WY,Albany,56001,Donald Trump,republican,7602,1
2016,Wyoming,WY,Albany,56001,Hillary Clinton,democrat,6890,2
2016,Wyoming,WY,Albany,56001,Other,NA,2568,
2016,Wyoming,WY,Big Horn,56003,Donald Trump,republican,4067,3
2016,Wyoming,WY,Big Horn,56003,Other,NA,646,
2016,Wyoming,WY,Big Horn,56003,Hillary Clinton,democrat,604,4
2016,Wyoming,WY,Campbell,56005,Donald Trump,republican,15778,5
2016,Wyoming,WY,Campbell,56005,Hillary Clinton,democrat,1324,6
2016,Wyoming,WY,Campbell,56005,Other,NA,1097,
2016,Wyoming,WY,Carbon,56007,Donald Trump,republican,4409,7
2016,Wyoming,WY,Carbon,56007,Hillary Clinton,democrat,1279,8
2016,Wyoming,WY,Carbon,56007,Other,NA,686,
2016,Wyoming,WY,Converse,56009,Donald Trump,republican,5520,9
2016,Wyoming,WY,Converse,56009,Hillary Clinton,democrat,668,10
2016,Wyoming,WY,Converse,56009,Other,NA,466,
2016,Wyoming,WY,Crook,56011,Donald Trump,republican,3348,11
2016,Wyoming,WY,Crook,56011,Hillary Clinton,democrat,273,12
2016,Wyoming,WY,Crook,56011,Other,NA,205,
2016,Wyoming,WY,Fremont,56013,Donald Trump,republican,11167,13
2016,Wyoming,WY,Fremont,56013,Hillary Clinton,democrat,4200,14
2016,Wyoming,WY,Fremont,56013,Other,NA,1656,
2016,Wyoming,WY,Goshen,56015,Donald Trump,republican,4418,15
2016,Wyoming,WY,Goshen,56015,Hillary Clinton,democrat,924,16
2016,Wyoming,WY,Goshen,56015,Other,NA,454,
2016,Wyoming,WY,Hot Springs,56017,Donald Trump,republican,1939,17
2016,Wyoming,WY,Hot Springs,56017,Hillary Clinton,democrat,400,18
2016,Wyoming,WY,Hot Springs,56017,Other,NA,247,
2016,Wyoming,WY,Johnson,56019,Donald Trump,republican,3477,19
