STATE_NAME,STUSPS,COUNTY_NAME,FIPS,PARTY
Wyoming,WY,Albany,56001,republican
Wyoming,WY,Big Horn,56003,republican
Wyoming,WY,Campbell,56005,republican
Wyoming,WY,Carbon,56007,republican
Wyoming,WY,Converse,56009,republican
Wyoming,WY,Crook,56011,republican
Wyoming,WY,Fremont,56013,republican
Wyoming,WY,Goshen,56015,republican
Wyoming,WY,Hot Springs,56017,republican
Wyoming,WY,Johnson,56019,republican
Wyoming,WY,Laramie,56021,republican
Wyoming,WY,Lincoln,56023,republican
Wyoming,WY,Natrona,56025,republican
Wyoming,WY,Niobrara,56027,republican
Wyoming,WY,Park,56029,republican
Wyoming,WY,Platte,56031,republican
Wyoming,WY,Sheridan,56033,republican
Wyoming,WY,Sublette,56035,republican
Wyoming,WY,Sweetwater,56037,republican
Wyoming,WY,Teton,56039,democrat
Wyoming,WY,Uinta,56041,republican
Wyoming,WY,Washakie,56043,republican
Wyoming,WY,Weston,56045,republican
Wisconsin,WI,Adams,55001,republican
Wisconsin,WI,Ashland,55003,democrat
Wisconsin,WI,Barron,55005,republican
Wisconsin,WI,Bayfield,55007,democrat
Wisconsin,WI,Brown,55009,republican
Wisconsin,WI,Buffalo,55011,republican
Wisconsin,WI,Burnett,55013,republican
Wisconsin,WI,Calumet,55015,republican
Wisconsin,WI,Chippewa,55017,republican
Wisconsin,WI,Clark,55019,republican
Wisconsin,WI,Columbia,55021,republican
Wisconsin,WI,Crawford,55023,republican
Wisconsin,WI,Dane,55025,democrat
Wisconsin,WI,Dodge,55027,republican
Wisconsin,WI,Door,55029,republican
Wisconsin,WI,Douglas,55031,democrat
Wisconsin,WI,Dunn,55033,republican
Wisconsin,WI,Eau Claire,55035,democrat
Wisconsin,WI,Florence,55037,republican
Wisconsin,WI,Fond du Lac,55039,republican
Wisconsin,WI,Forest,55041,republican
Wisconsin,WI,Grant,55043,republican
Wisconsin,WI,Green,55045,democrat
Wisconsin,WI,Green Lake,55047,republican
Wisconsin,WI,Iowa,55049,democrat
Wisconsin,WI,Iron,55051,republican
Wisconsin,WI,Jackson,55053,republican
Wisconsin,WI,Jefferson,55055,republican
Wisconsin,WI,Juneau,55057,republican
Wisconsin,WI,Kenosha,55059,republican
Wisconsin,WI,Kewaunee,55061,republican
Wisconsin,WI,La Crosse,55063,democrat
Wisconsin,WI,Lafayette,55065,republican
Wisconsin,WI,Langlade,55067,republican
Wisconsin,WI,Lincoln,55069,republican
Wisconsin,WI,Manitowoc,55071,republican
Wisconsin,WI,Marathon,55073,republican
Wisconsin,WI,Marinette,55075,republican
Wisconsin,WI,Marquette,55077,republican
Wisconsin,WI,Menominee,55078,democrat
Wisconsin,WI,Milwaukee,55079,democrat
Wisconsin,WI,Monroe,55081,republican
Wisconsin,WI,Oconto,55083,republican
Wisconsin,WI,Oneida,55085,republican
Wisconsin,WI,Outagamie,55087,republican
Wisconsin,WI,Ozaukee,55089,republican
Wisconsin,WI,Pepin,55091,republican
Wisconsin,WI,Pierce,55093,republican
Wisconsin,WI,Polk,55095,republican
Wisconsin,WI,Portage,55097,democrat
Wisconsin,WI,Price,55099,republican
Wisconsin,WI,Racine,55101,republican
Wisconsin,WI,Richland,55103,republican
Wisconsin,WI,Rock,55105,democrat
Wisconsin,WI,Rusk,55107,republican
Wisconsin,WI,Sauk,55111,republican
Wisconsin,WI,Sawyer,55113,republican
Wisconsin,WI,Shawano,55115,republican
Wisconsin,WI,Sheboygan,55117,republican
Wisconsin,WI,St. Croix,55109,republican
Wisconsin,WI,Taylor,55119,republican
Wisconsin,WI,Trempealeau,55121,republican
Wisconsin,WI,Vernon,55123,republican
Wisconsin,WI,Vilas,55125,republican
Wisconsin,WI,Walworth,55127,republican
Wisconsin,WI,Washburn,55129,republican
Wisconsin,WI,Washington,55131,republican
Wisconsin,WI,Waukesha,55133,republican
Wisconsin,WI,Waupaca,55135,republican
Wisconsin,WI,Waushara,55137,republican
Wisconsin,WI,Winnebago,55139,republican
Wisconsin,WI,Wood,55141,republican
West Virginia,WV,Barbour,54001,republican
West Virginia,WV,Berkeley,54003,republican
West Virginia,WV,Boone,54005,republican
West Virginia,WV,Braxton,54007,republican
West Virginia,WV,Brooke,54009,republican
West Virginia,WV,Cabell,54011,republican
West Virginia,WV,Calhoun,54013,republican
West Virginia,WV,Clay,54015,republican
West Virginia,WV,Doddridge,54017,republican
West Virginia,WV,Fayette,54019,republican
West Virginia,WV,Gilmer,54021,republican
West Virginia,WV,Grant,54023,republican
West Virginia,WV,Greenbrier,54025,republican
West Virginia,WV,Hampshire,54027,republican
West Virginia,WV,Hancock,54029,republican
West Virginia,WV,Hardy,54031,republican
West Virginia,WV,Harrison,54033,republican
West Virginia,WV,Jackson,54035,republican
West Virginia,WV,Jefferson,54037,republican
West Virginia,WV,Kanawha,54039,republican
West Virginia,WV,Lewis,54041,republican
West Virginia,WV,Lincoln,54043,republican
West Virginia,WV,Logan,54045,republican
West Virginia,WV,Marion,54049,republican
West Virginia,WV,Marshall,54051,republican
West Virginia,WV,Mason,54053,republican
West Virginia,WV,McDowell,54047,republican
West Virginia,WV,Mercer,54055,republican
West Virginia,WV,Mineral,54057,republican
West Virginia,WV,Mingo,54059,republican
West Virginia,WV,Monongalia,54061,republican
West Virginia,WV,Monroe,54063,republican
West Virginia,WV,Morgan,54065,republican
West Virginia,WV,Nicholas,54067,republican
West Virginia,WV,Ohio,54069,republican
West Virginia,WV,Pendleton,54071,republican
West Virginia,WV,Pleasants,54073,republican
West Virginia,WV,Pocahontas,54075,republican
West Virginia,WV,Preston,54077,republican
West Virginia,WV,Putnam,54079,republican
West Virginia,WV,Raleigh,54081,republican
West Virginia,WV,Randolph,54083,republican
West Virginia,WV,Ritchie,54085,republican
West Virginia,WV,Roane,54087,republican
West Virginia,WV,Summers,54089,republican
West Virginia,WV,Taylor,54091,republican
West Virginia,WV,Tucker,54093,republican
West Virginia,WV,Tyler,54095,republican
West Virginia,WV,Upshur,54097,republican
West Virginia,WV,Wayne,54099,republican
West Virginia,WV,Webster,54101,republican
West Virginia,WV,Wetzel,54103,republican
West Virginia,WV,Wirt,54105,republican
West Virginia,WV,Wood,54107,republican
West Virginia,WV,Wyoming,54109,republican
Washington,WA,Adams,53001,republican
Washington,WA,Asotin,53003,republican
Washington,WA,Benton,53005,republican
Washington,WA,Chelan,53007,republican
Washington,WA,Clallam,53009,republican
Washington,WA,Clark,53011,democrat
Washington,WA,Columbia,53013,republican
Washington,WA,Cowlitz,53015,republican
Washington,WA,Douglas,53017,republican
Washington,WA,Ferry,53019,republican
Washington,WA,Franklin,53021,republican
Washington,WA,Garfield,53023,republican
Washington,WA,Grant,53025,republican
Washington,WA,Grays Harbor,53027,republican
Washington,WA,Island,53029,democrat
Washington,WA,Jefferson,53031,democrat
Washington,WA,King,53033,democrat
Washington,WA,Kitsap,53035,democrat
Washington,WA,Kittitas,53037,republican
Washington,WA,Klickitat,53039,republican
Washington,WA,Lewis,53041,republican
Washington,WA,Lincoln,53043,republican
Washington,WA,Mason,53045,republican
Washington,WA,Okanogan,53047,republican
Washington,WA,Pacific,53049,republican
Washington,WA,Pend Oreille,53051,republican
Washington,WA,Pierce,53053,democrat
Washington,WA,San Juan,53055,democrat
Washington,WA,Skagit,53057,democrat
Washington,WA,Skamania,53059,republican
Washington,WA,Snohomish,53061,democrat
Washington,WA,Spokane,53063,republican
Washington,WA,Stevens,53065,republican
Washington,WA,Thurston,53067,democrat
Washington,WA,Wahkiakum,53069,republican
Washington,WA,Walla Walla,53071,republican
Washington,WA,Whatcom,53073,democrat
Washington,WA,Whitman,53075,democrat
Washington,WA,Yakima,53077,republican
Virginia,VA,Accomack,51001,republican
Virginia,VA,Albemarle,51003,democrat
Virginia,VA,Alexandria,51510,democrat
Virginia,VA,Alleghany,51005,republican
Virginia,VA,Amelia,51007,republican
Virginia,VA,Amherst,51009,republican
Virginia,VA,Appomattox,51011,republican
Virginia,VA,Arlington,51013,democrat
Virginia,VA,Augusta,51015,republican
Virginia,VA,Bath,51017,republican
Virginia,VA,Bedford,51515,republican
Virginia,VA,Bedford,51019,republican
Virginia,VA,Bland,51021,republican
Virginia,VA,Botetourt,51023,republican
Virginia,VA,Bristol,51520,republican
Virginia,VA,Brunswick,51025,democrat
Virginia,VA,Buchanan,51027,republican
Virginia,VA,Buckingham,51029,republican
Virginia,VA,Buena Vista,51530,republican
Virginia,VA,Campbell,51031,republican
Virginia,VA,Caroline,51033,republican
Virginia,VA,Carroll,51035,republican
Virginia,VA,Charles City,51036,democrat
Virginia,VA,Charlotte,51037,republican
Virginia,VA,Charlottesville,51540,democrat
Virginia,VA,Chesapeake,51550,republican
Virginia,VA,Chesterfield,51041,republican
Virginia,VA,Clarke,51043,republican
Virginia,VA,Colonial Heights,51570,republican
Virginia,VA,Covington,51580,republican
Virginia,VA,Craig,51045,republican
Virginia,VA,Culpeper,51047,republican
Virginia,VA,Cumberland,51049,republican
Virginia,VA,Danville,51590,democrat
Virginia,VA,Dickenson,51051,republican
Virginia,VA,Dinwiddie,51053,republican
Virginia,VA,Emporia,51595,democrat
Virginia,VA,Essex,51057,republican
Virginia,VA,Fairfax,51059,democrat
Virginia,VA,Fairfax,51600,democrat
Virginia,VA,Falls Church,51610,democrat
Virginia,VA,Fauquier,51061,republican
Virginia,VA,Floyd,51063,republican
Virginia,VA,Fluvanna,51065,republican
Virginia,VA,Franklin,51067,republican
Virginia,VA,Franklin,51620,democrat
Virginia,VA,Frederick,51069,republican
Virginia,VA,Fredericksburg,51630,democrat
Virginia,VA,Galax,51640,republican
Virginia,VA,Giles,51071,republican
Virginia,VA,Gloucester,51073,republican
Virginia,VA,Goochland,51075,republican
Virginia,VA,Grayson,51077,republican
Virginia,VA,Greene,51079,republican
Virginia,VA,Greensville,51081,democrat
Virginia,VA,Halifax,51083,republican
Virginia,VA,Hampton,51650,democrat
Virginia,VA,Hanover,51085,republican
Virginia,VA,Harrisonburg,51660,democrat
Virginia,VA,Henrico,51087,democrat
Virginia,VA,Henry,51089,republican
Virginia,VA,Highland,51091,republican
Virginia,VA,Hopewell,51670,democrat
Virginia,VA,Isle of Wight,51093,republican
Virginia,VA,James City,51095,republican
Virginia,VA,King and Queen,51097,republican
Virginia,VA,King George,51099,republican
Virginia,VA,King William,51101,republican
Virginia,VA,Lancaster,51103,republican
Virginia,VA,Lee,51105,republican
Virginia,VA,Lexington,51678,democrat
Virginia,VA,Loudoun,51107,democrat
Virginia,VA,Louisa,51109,republican
Virginia,VA,Lunenburg,51111,republican
Virginia,VA,Lynchburg,51680,republican
Virginia,VA,Madison,51113,republican
Virginia,VA,Manassas,51683,democrat
Virginia,VA,Manassas Park,51685,democrat
Virginia,VA,Martinsville,51690,democrat
Virginia,VA,Mathews,51115,republican
Virginia,VA,Mecklenburg,51117,republican
Virginia,VA,Middlesex,51119,republican
Virginia,VA,Montgomery,51121,democrat
Virginia,VA,Nelson,51125,republican
Virginia,VA,New Kent,51127,republican
Virginia,VA,Newport News,51700,democrat
Virginia,VA,Norfolk,51710,democrat
Virginia,VA,Northampton,51131,democrat
Virginia,VA,Northumberland,51133,republican
Virginia,VA,Norton,51720,republican
Virginia,VA,Nottoway,51135,republican
Virginia,VA,Orange,51137,republican
Virginia,VA,Page,51139,republican
Virginia,VA,Patrick,51141,republican
Virginia,VA,Petersburg,51730,democrat
Virginia,VA,Pittsylvania,51143,republican
Virginia,VA,Poquoson,51735,republican
Virginia,VA,Portsmouth,51740,democrat
Virginia,VA,Powhatan,51145,republican
Virginia,VA,Prince Edward,51147,democrat
Virginia,VA,Prince George,51149,republican
Virginia,VA,Prince William,51153,democrat
Virginia,VA,Pulaski,51155,republican
Virginia,VA,Radford,51750,democrat
Virginia,VA,Rappahannock,51157,republican
Virginia,VA,Richmond,51760,democrat
Virginia,VA,Richmond,51159,republican
Virginia,VA,Roanoke,51161,republican
Virginia,VA,Roanoke,51161,democrat
Virginia,VA,Rockbridge,51163,republican
Virginia,VA,Rockingham,51165,republican
Virginia,VA,Russell,51167,republican
Virginia,VA,Salem,51775,republican
Virginia,VA,Scott,51169,republican
Virginia,VA,Shenandoah,51171,republican
Virginia,VA,Smyth,51173,republican
Virginia,VA,Southampton,51175,republican
Virginia,VA,Spotsylvania,51177,republican
Virginia,VA,Stafford,51179,republican
Virginia,VA,Staunton,51790,democrat
Virginia,VA,Suffolk,51800,democrat
Virginia,VA,Surry,51181,democrat
Virginia,VA,Sussex,51183,democrat
Virginia,VA,Tazewell,51185,republican
Virginia,VA,Virginia Beach,51810,republican
Virginia,VA,Warren,51187,republican
