,STATE_FP,STUSPS,STATE_NAME,STATENS,PARTY
0,1,AL,Alabama,1779775,republican
1,2,AK,Alaska,1785533,republican
2,4,AZ,Arizona,1779777,republican
3,5,AR,Arkansas,68085,republican
4,6,CA,California,1779778,democrat
5,8,CO,Colorado,1779779,democrat
6,9,CT,Connecticut,1779780,democrat
7,10,DE,Delaware,1779781,democrat
8,11,DC,District of Columbia,1702382,democrat
9,12,FL,Florida,294478,republican
10,13,GA,Georgia,1705317,republican
11,15,HI,Hawaii,1779782,democrat
12,16,ID,Idaho,1779783,republican
13,17,IL,Illinois,1779784,democrat
14,18,IN,Indiana,448508,republican
15,19,IA,Iowa,1779785,republican
16,20,KS,Kansas,481813,republican
17,21,KY,Kentucky,1779786,republican
18,22,LA,Louisiana,1629543,republican
19,23,ME,Maine,1779787,democrat
20,24,MD,Maryland,1714934,democrat
21,25,MA,Massachusetts,606926,democrat
22,26,MI,Michigan,1779789,republican
23,27,MN,Minnesota,662849,democrat
24,28,MS,Mississippi,1779790,republican
25,29,MO,Missouri,1779791,republican
26,30,MT,Montana,767982,republican
27,31,NE,Nebraska,1779792,republican
28,32,NV,Nevada,1779793,democrat
29,33,NH,New Hampshire,1779794,democrat
30,34,NJ,New Jersey,1779795,democrat
31,35,NM,New Mexico,897535,democrat
32,36,NY,New York,1779796,democrat
33,37,NC,North Carolina,1027616,republican
34,38,ND,North Dakota,1779797,republican
35,39,OH,Ohio,1085497,republican
36,40,OK,Oklahoma,1102857,republican
37,41,OR,Oregon,1155107,democrat
38,42,PA,Pennsylvania,1779798,republican
39,44,RI,Rhode Island,1219835,democrat
40,45,SC,South Carolina,1779799,republican
41,46,SD,South Dakota,1785534,republican
42,47,TN,Tennessee,1325873,republican
43,48,TX,Texas,1779801,republican
44,49,UT,Utah,1455989,republican
45,50,VT,Vermont,1779802,democrat
46,51,VA,Virginia,1779803,democrat
47,53,WA,Washington,1779804,democrat
48,54,WV,West Virginia,1779805,republican
49,55,WI,Wisconsin,1779806,republican
50,56,WY,Wyoming,1779807,republican
51,60,AS,American Samoa,1802701,
52,66,GU,Guam,1802705,
53,69,MP,Northern Mariana Islands,1779809,
54,72,PR,Puerto Rico,1779808,
55,74,UM,U.S. Minor Outlying Islands,1878752,
56,78,VI,U.S. Virgin Islands,1802710,
